year,month,day,hour,location,stateOrProvince,country,continent,title,description,locale,duration,evidenceAndSpecialEffectsFlags,typeOfUfoCraftFlags,latitude,apparentUfoOccupantActivitiesFlags,placesVisitedAndThingsAffectedFlags,elevation,miscellaneousDetailsFlags,relativeAltitude,longitude,locationFlags,ref,refIndex,strangeness,credibility,miscellaneousFlags,aliensMonstersFlags
1961,12,13,17,"WASHINGTON,DC",WDC,USA,North America,BBK#7754,"3 OBS
10'DIAMOND/1200'alt >OVHD
PULSING LITE BENEATH",Metropolis,3,NA,Delta,38.9,Observation,Building or ANY MANMADE STRUCTURE,8,"Military investigation, Blue Book",NA,76.98,"Map, Ground, Military, Civilian, High quality observer(s)",59,167,6,8,NA,No occupant
1957,9,4,20,"CORUCHE,PORT",RBT,Portugal,Western Europe,4 PAF JETS BUZZED/OBJS WHICH EXIT LRG SCR,/r141#4+/r120p147,Mountains,40,"Electro-Magnetic Effect, Technical",Saucer,38.97,Observation,NA,NA,Camouflage,NA,8.57,"Map, Ground, Airborne, Military, High quality observer(s)",195,50,9,9,Oddity,No occupant
1967,3,26,20,"ALTONA>GRETNA,MBa",Manitoba,Canada,North America,DARK OBJ LITES COUNTRYSIDE PINK nr RADIO TOWERS,VANISHES,Farmlands,3,Technical,Saucer,49.04,"Observation, Ray",NA,247,Camouflage,NA,97.54,"Map, Ground, Civilian",8,829,6,7,NA,No occupant
1950,1,23,4,"100km S/KODIAK NAS,AK",Alaska,USA,North America,6 NAVY AIRMEN CANT CATCH FBL >>W./FBI DOCS,/r98#243p30,Coastlands,10,NA,Fireball,56.74,Observation,NA,0,"Military investigation, Blue Book, Government Security Agency involvement, Coverup",NA,152.48,"Map, Coast, Sea, Airborne, Military, High quality observer(s)",160,130,4,9,NA,No occupant
1995,10,14,22,"TROY,MT",Montana,USA,North America,2 OBS,"GRN MOONSIZE OBJ >>NW OVHD
LITES TREES/MOUNTAINTOP
NFD",Mountains,1,NA,"Saucer, Fireball",48.46,NA,NA,575,NA,NA,115.89,"Map, Ground, Civilian",220,121,5,7,Misidentification,No occupant
1981,5,4,22,"BELO HORIZONTE,BRZ",MG,Brazil,South America,BRITE SCR/GND,"VANISHES
OBS PULLED TWRD SPOT
BURNT GRASS",Town & city,2,Technical,Saucer,-19.89,Abduction,"Human affected, Apparent Landing",876,NA,0,43.93,"Map, Ground, Civilian",105,229,7,6,NA,No occupant
1955,8,22,15,"nr RIVERSIDE,CA",California,USA,North America,12 KIDS,"SCRS HVR
1 LANDS
OIDS EXIT+SPEAK
/r8#373+/FSR v13#1",Residential,15,Technical,Saucer,33.97,Abduction,Apparent Landing,259,NA,0,117.4,"Map, Ground, Civilian, High quality observer(s)",139,279,9,10,NA,Humanoid
1956,5,8,20,"VISTA,CA",California,USA,North America,SVRL OBS,"MOTHERSHIP'HVRS/3hrs
SML OBJs W/SQR PORTS ORBIT
ALL >W",Residential,180,NA,"Saucer, Cigar, Probe",33.2,NA,NA,104,NA,NA,117.27,"Map, Civilian, High quality observer(s)",140,705,4,8,Misidentification,No occupant
1978,4,9,10,"TORONTO,ON",Ontario,Canada,North America,1 OBS,"SHINY SLVR CGR >>E
BLACK LINE ALONG SIDE
NO PROPS OR JETS etc",Metropolis,1,NA,Cigar,43.68,NA,NA,76,NA,NA,79.37,"Map, Ground, Civilian",200,44,6,6,News,No occupant
1947,7,4,13,"PORTLAND,OR",Oregon,USA,North America,COPS++,"PIGEONS SCARED
5 LRG DISKS WOBBLE
2>>E
2 >>S",Metropolis,5,NA,Saucer,45.51,NA,Animals affected,15,Other government agencies,NA,122.68,"Map, Ground, Civilian",200,280,6,9,NA,No occupant
1947,7,2,20,"CINCINNATI,OH",Ohio,USA,North America,100/BALLPARK,"2 SHINY 30cm SLVR SCRS HVR+GO SLOWLY
/r187#161",Metropolis,10,NA,"Saucer, Probe",39.13,NA,NA,205,NA,NA,84.51,"Map, Ground, Civilian, High quality observer(s)",186,20,7,12,"News, Wave",No occupant
1967,9,19,19,"SVATOVO+VOROSHILOVGRAD,UKRAINE",LGN,Ukraine,Eastern Europe,CRESCENT+NLTS GO SW>>NE,"GC#059
/LDLN#204",Town & city,2,NA,"Saucer, Nightlights",49.38,NA,NA,NA,NA,NA,-38.17,"Map, Ground, Civilian",58,37,6,7,Wave,No occupant
1967,6,22,12,"BRIXHAM,DEVON",England,Great Britain and Ireland,Western Europe,RAF JET CIRCLES BRILL 200'CONE,MANY HIQ MIL+CIV OBS,Town & city,8,NA,Saucer,50.4,NA,NA,1,Military investigation,NA,03/05/2017,"Map, Ground, Coast, Airborne, Military, Civilian, High quality observer(s)",28,439,6,10,NA,No occupant
1977,7,NA,NA,"CONNERSVILLE,IN",Indiana,USA,North America,2 BOYS,"90m DLT PASSES OVHD
45m alt/55kph
>>W
SEEN/5min",Residential,5,NA,Delta,39.58,NA,NA,263,NA,NA,85.14,"Map, Ground, Civilian, High quality observer(s)",160,321,6,8,NA,No occupant
1969,2,17,2,"FLINDERS PARK,S.AUST",South Australia,Australia,Oceania,WHIRR!,"ODD 10M OBJ  100M away
MAN EXITS+WALKS AROUND OBJ",Residential,2,NA,Saucer,-34.92,NA,Apparent Landing,NA,Sound,NA,-138.53,"Map, Ground, Coast, Civilian",96,161,7,6,Misidentification,Pseudo-Human
1977,5,26,16,"DOWAGIAC,MI",Michigan,USA,North America,2 OBS/GND,"SLNT OVOID FOLOS AIRLINER/30sec
LARGER THAN PLANE
>>E",Farmlands,1,NA,Saucer,41.97,Observation,Vehicle affected,228,NA,NA,86.1,"Map, Ground, Civilian",200,31,6,7,NA,No occupant
1952,7,26,20,"WASHINGTON,DC",WDC,USA,North America,2ND GREAT SCR FLAP,"GND-AIR RDR+VIS
ANDREWS AFB JETS CHASE
/r242",Military base,208,"Photos, Radar, Electro-Magnetic Effect, Technical","Saucer, Cigar",38.91,Observation,NA,8,"Military investigation, Blue Book, Government Security Agency involvement, Other government agencies, Coverup",NA,77.03,"Map, Ground, Airborne, Military, Civilian, High quality observer(s)",29,164,8,11,"Scientist, News, Wave",No occupant
1994,7,2,3,"CARDIFF,WALES",WLS,Great Britain and Ireland,Western Europe,BLACK-GRY TEARDROP HVRS OVR LRG TREE/90sec,"""definite machine""",Residential,2,NA,Delta,51.48,Observation,Nuclear,16,NA,NA,03/03/2017,"Map, Ground, Coast, Civilian",60,302,6,6,"News, Misidentification",No occupant
1967,1,24,20,"CROMWELL,CT",Connecticut,USA,North America,EX-USAF MAN,"100M CGR/15M alt
WHIRRs+ROCKS
>N
STOPS OVR HIV LINES",Residential,5,NA,Cigar,41.61,Observation,NA,11,Sound,15,72.64,"Map, Ground, Civilian",210,809,6,7,NA,No occupant
1978,12,22,0,"off KAIKOURA,NZ",SI,New Zealand,Oceania,DOMED OBJS PACE CARGO PLANE/12mi,"LOOP/FILM
/IUR v4#1+/MJ#132",In-flight,12,"Photos, Radar",Saucer,-42.26,Observation,Vehicle affected,NA,NA,NA,-174.17,"Map, Ground, Coast, Airborne, Civilian, High quality observer(s)",195,314,6,10,"News, Wave",No occupant
1975,2,22,18,"FINNERODJA,SWEDEN",Sweden,Scandanavian and Finland,Western Europe,4 OBS,"LRG GRY SLNT BUS CROSSES ROAD/LO alt
3 S-LITES/FRONT",Road + rails,1,Technical,Delta,58.93,NA,Apparent Landing,NA,Camouflage,NA,-14.43,"Map, Ground, Civilian, High quality observer(s)",160,103,8,8,NA,No occupant
1967,2,5,1,"OAKLAND CITY,IN",Indiana,USA,North America,7 MUSICIANS+5 SEP.OBS,"BOOMERANG SEEN/5-6min
>NW
NFD",Road + rails,6,NA,Delta,38.33,NA,NA,140,NA,NA,87.34,"Map, Ground, Civilian, High quality observer(s)",237,20,6,9,NA,No occupant
1952,10,3,22,"COCOA,FL",Florida,USA,North America,100s/CALLS,"WHT OVOID HVRS to 0020hrs
nr CAPE CANAVERAL
BACK 06OCT(UP)",Coastlands,140,NA,"Saucer, Nightlights",28.38,NA,NA,12,NA,NA,80.74,"Map, Ground, Coast, Civilian, High quality observer(s)",136,561,6,12,News,No occupant
1952,7,19,11,"BALTIMORE,MD",MLD,USA,North America,GOC OBS,"2 ROUND OBJs TRAIL SMOKE >>NW
INSTANTLY TURN STRAIGHT UP!",Metropolis,1,Technical,Saucer,39.27,NA,NA,3,NA,NA,76.63,"Map, Ground, Civilian",136,268,7,7,News,No occupant
1959,11,18,18,"S/CRYSTAL Sprs,MS",Mississippi,USA,North America,BBK#6600,"1 OBS
ROW/RED LITES DRIFTS THEN OFF/FANTASTIC SPEED",Farmlands,6,NA,"Cigar, Nightlights",31.97,NA,NA,140,"Military investigation, Blue Book",NA,90.36,"Map, Ground, Civilian",185,28,6,6,NA,No occupant
1992,4,15,22,"ALOHA,OR",Oregon,USA,North America,1 OBS,"DOME-SHAPE NEARS FRONT YARD
CHANGES BLUE>RED+FLIES AWAY
/r147",Residential,1,NA,Saucer,45.51,NA,NA,65,NA,NA,122.83,"Map, Ground, Civilian",160,295,6,6,NA,No occupant
1962,3,NA,NA,"CORDOBA,ARG",CRD,Argentina,South America,2 ASTRONOMY STUDENTS FOTO DISK/2000'alt,LEAVES CRIMSON TRAIL/SKY,Town & city,2,"Photos, Technical",Saucer,-31.39,NA,NA,384,NA,600,64.18,"Map, Ground, Civilian, High quality observer(s)",27,160,7,7,Scientist,No occupant
1954,10,26,NA,"ANCONA,ITL",Ancona,Italy,Western Europe,SLNT LUMn GRN CONE >,"
LUMN.GLOBES IN+OUT/SEA since SEPT/r138#8p20",Coastlands,1,NA,"Saucer, Probe",43.61,NA,NA,NA,NA,NA,-13.5,"Map, Ground, Coast, Civilian",194,326,4,6,NA,No occupant
1995,8,31,23,"APARECIDA do NORTE,BRZ",SPL,Brazil,South America,NLTS ALLO,"1 PASSES WINDOW
OBS+LAMP OIL PULLED UPWARD",Town & city,60,Technical,Nightlights,-22.82,NA,Animals affected,510,NA,NA,45.17,"Map, Ground, Civilian, High quality observer(s)",226,33,7,7,"Oddity, Wave",No occupant
1954,10,3,21,"MONTBELIARD,FR",DBS,France,Western Europe,SVRL OBS W/BINOCS,"SCR TURNS+CHANGES CLRS
>>NE to BELFORT
NFD",Farmlands,1,NA,Saucer,47.5,NA,NA,NA,NA,NA,-6.82,"Map, Ground, Civilian, High quality observer(s)",49,126,6,9,Wave,No occupant
1974,3,5,21,"METZ,FR",MSL,France,Western Europe,5 OBS,"HUGE OVOID+SCR
CLRD BALLS EXIT
BACK 15+23MAR+5MAY/LDLN#136+137",Town & city,1,Technical,"Saucer, Probe",49.13,NA,NA,NA,NA,NA,-6.19,"Map, Ground, Civilian, High quality observer(s)",194,140,6,8,Wave,No occupant
1954,10,28,17,"MIHO AB,JAPAN",HNS,Japan,Asia Pacific,BBK#3281,"USAF PILOTS/GND/BINOCs
BRILL.WHT SCR MAKES 90�TURN>>N",Military base,1,NA,Saucer,35.67,NA,NA,NA,"Military investigation, Blue Book",NA,-139.8,"Map, Ground, Airborne, Military, High quality observer(s)",185,24,6,7,NA,No occupant
1972,7,27,23,"ORANGEBURG,SC",South Carolina,USA,North America,SILENT PLANE NRS AIRPORT,"NEVER LANDS
2nd TIME IN 1 WEEK
NO LITES",Town & city,2,NA,Delta,33.48,NA,NA,75,Camouflage,NA,80.84,"Map, Ground, Civilian",166,48,6,6,"News, Misidentification",No occupant
1975,10,20,16,"PRIEST BUTTE,MT",Montana,USA,North America,2/EAST SLOPE,"LRG OVOID/GND
ARMS EXTEND+WAVE/5min+RETRACT
",Mountains,6,Technical,Saucer,47.74,Observation,Apparent Landing,1250,NA,NA,112.08,"Map, Ground, Civilian",26,34,7,7,NA,No occupant
1951,12,~23,~22:00,"nr AAL,BUSKERUD,NORWAY",Norway,Scandanavian and Finland,Western Europe,4 SEP EVENTS/WINTER,FBLS HVR SILENTLY+>>/XTREME SPEEDS,Mountains,10,NA,Fireball,60.64,Observation,NA,NA,"Military investigation, Blue Book",NA,-8.6,"Map, Ground, Civilian",136,140,6,7,"News, Wave",No occupant
1988,3,18,20,BERIOZOVSKY/YUGO-ALEKSANDROVA/BOLSHAYA ZLATOGORKA,DAL,Russia,Russia and former soviet,PHOTOS/FBL ANALYZED=SOLID,NA,Tundra,6,Photos,Fireball,44.34,NA,NA,NA,NA,NA,-135.42,"Map, Ground, Coast, Civilian, High quality observer(s)",122,122,5,9,NA,No occupant
1953,1,28,13,"off POINT MUGU NAS,CA",California,USA,North America,BBK#1261,"3/SHIP
50cm SCR nr REMOTE-CTRL DRONE TESTS
FAST",Military base,6,Technical,"Saucer, Probe",34.07,Observation,Vehicle affected,0,"Military investigation, Blue Book",NA,119.1,"Map, Coast, Sea, Military, High quality observer(s)",185,19,8,8,NA,No occupant
1976,3,16,20,"SAINTES,FR",CHM,France,Western Europe,FAMILY/6,"BIG RUMBLE
SALAD BOWL SCR OUTSIDE > TWRD TOWN
TRACES/GRASS",Residential,1,Traces,Saucer,45.77,NA,"Dirt, Plants affected or sampled, Apparent Landing",NA,Sound,NA,0.61,"Map, Ground, Civilian, High quality observer(s)",194,201,7,8,NA,No occupant
1952,7,23,3,"WALTHAM,MASS",Massachusetts,USA,North America,ODD ORG NLT CIRCLES TOWN/HOURS,"
F94B SEES SPINNING SCR",In-flight,44,NA,"Saucer, Nightlights, Probe",42.37,NA,NA,15,"Military investigation, Blue Book",NA,71.24,"Map, Ground, Airborne, Military, Civilian, High quality observer(s)",136,309,6,8,News,No occupant
1967,11,1,NA,"HOLYOKE,MAss",Massachusetts,USA,North America,"""DIESEL RUMBLE/NITE""","SHARP PERFECT 12M INDENT/GND
dogs avoid",Residential,1,Traces,Saucer,42.18,NA,"Dirt, Plants affected or sampled",35,Sound,0,72.63,"Map, Ground, Civilian",98,11,6,8,News,No occupant
1973,11,25,22,"CARIGNAN,QB",Quebec,Canada,North America,1+2 OBS,"DARK SLNT SCR W/LITES MOVES IN JERKS
DROPS/15M alt",Residential,5,NA,Saucer,45.47,NA,NA,40,NA,15,73.31,"Map, Ground, Civilian",231,76,6,7,NA,No occupant
1971,9,22,NA,"nr TWIN FALLS,ID",Idaho,USA,North America,2 TEENS,"ORG OBJ FLASHES+CCLs OVHD
ANIMALS FRANTIC
no descript",Farmlands,45,NA,"Nightlights, Fireball",42.5,NA,Animals affected,1140,NA,NA,114.41,"Map, Ground, Civilian",24,861,6,6,NA,No occupant
1947,8,11,NA,"ST LOUIS,MO",Missouri,USA,North America,50+AERO-TYPES/BALLGAME,"9 SCRS/VERTICAL VFORM/25K'alt
>>N/1000mph",Residential,3,NA,Saucer,38.63,NA,NA,137,"Military investigation, Blue Book",7500,90.18,"Map, Ground, Military, Civilian, High quality observer(s)",131,59,6,12,NA,No occupant
1991,5,15,10,"W.MIDDLESEX,PA",Pennsylvania,USA,North America,MAN+KID,"GRY BLIMP SURROUNDED/MIST
CENTER GLOWS ALL COLORS
SLOW",Farmlands,3,NA,"Saucer, Cigar",41.18,NA,NA,264,Camouflage,NA,80.46,"Map, Ground, Civilian",160,280,6,7,NA,No occupant
1994,7,28,11,"STROUD,GLOUCs",England,Great Britain and Ireland,Western Europe,1 OBS,"SILVER BALL OVR GARDEN
FLYS AWAY WHEN OBS TAKES GOOD LOOK",Residential,1,NA,"Saucer, Probe",51.73,Observation,Human affected,158,NA,5,2.21,"Map, Ground, Civilian",60,303,6,6,News,No occupant
1955,11,14,18,"DESERT HOT SPRINGS,CA",California,USA,North America,GLOBE/LITE RESPONDS/PLANE LANDING LITES,"180�TURN
/MJ#271",In-flight,5,NA,"Saucer, Nightlights",33.96,"Observation, Signal",Vehicle affected,335,NA,NA,116.5,"Map, Ground, Airborne, Civilian",139,631,5,7,News,No occupant
1974,8,12,21,"St-MARTIN Le COLONEL,26,FR",Drôme,France,Western Europe,2 OBS,"WHT BALL W/HALO >>NE twrd PONT-EN-ROYANS,26",Residential,1,NA,Saucer,44.98,NA,NA,NA,NA,NA,-5.27,"Map, Ground, Civilian",30,503,6,7,NA,No occupant
1970,8,29,23,"W/LAKE ANTON,SWD",Sweden,Scandanavian and Finland,Western Europe,16 SEP.OBS,"RED OVOID LANDS/WOODS
3 INDENTS
MILD 600 KeV RDA!",Forest,10,"Radiation, Traces, Technical","Saucer, Nightlights",58.01,NA,"Dirt, Plants affected or sampled, Apparent Landing",NA,NA,NA,-12.46,"Map, Ground, Civilian, High quality observer(s)",195,205,8,10,Scientist,No occupant
1977,8,25,2,"MOTTA S.GIOVANNI,ITL",RC,Italy,Western Europe,BIG UMBRELLA-SCR KNOCKS OUT STREETLITES,SAME AGAIN/0400h,Residential,120,Electro-Magnetic Effect,Saucer,37.98,NA,Building or ANY MANMADE STRUCTURE,NA,NA,NA,-15.7,"Map, Ground, Coast, Civilian",39,96,6,6,NA,No occupant
1988,2,3,18,"W/BLUBBERHOUSES,N.YORKS",England,Great Britain and Ireland,Western Europe,BUS PACED BRIEFLY/YELLOW SCR,">>E
2ND OVOID DOES SAME",Farmlands,1,NA,Saucer,53.98,Observation,NA,185,NA,NA,1.78,"Map, Ground, Civilian, High quality observer(s)",122,21,6,10,Wave,No occupant
1950,2,1,~17:00,"TUCSON,AZ",Arizona,USA,North America,ATCs+MANY,"FBL >>W/9km alt
HEAVY SMOKE TRAIL
SLOWS+>>W
B29 CHASES",In-flight,2,NA,"Saucer, Cigar",32.21,NA,NA,717,"Military investigation, Blue Book",NA,110.91,"Map, Ground, Airborne, Military, High quality observer(s)",134,405,4,9,"News, Misidentification",No occupant
1954,10,1,16,"BRY,FR",NRD,France,Western Europe,MAN+DOG PRLYZd/LUM.WHT OBJ DIVES AT THEM,"OK AFTER
/LDLN#102+FSR v16#3",Town & city,5,NA,"Saucer, Fireball",50.1,NA,"Animals affected, Human affected",NA,NA,NA,-4.03,"Map, Ground, Civilian",67,33,6,8,NA,No occupant
1966,3,30,NA,"PECOS,TX",Texas,USA,North America,30M x 9M OBJ LANDS nr HIGHWAY/5min,"TYPE UNK
NFD
/r8#740+/r73p28",Pasture,5,NA,"Saucer, Cigar",31.42,NA,Apparent Landing,788,NA,0,103.49,"Map, Ground, Civilian",24,43,7,6,NA,No occupant
1969,3,4,6,"W/ATLANTA,MO",Missouri,USA,North America,30M SCR,"EME+RFI
MAGNIFYING CONE BEAM!
>E
/MJ#251+/APRO 5/69",Farmlands,30,"Electro-Magnetic Effect, Technical",Saucer,39.87,Ray,Vehicle affected,278,NA,NA,92.57,"Map, Ground, Civilian",24,59,8,8,NA,No occupant
1957,11,6,NA,"N/SEOUL,KOREA",SEO,Korea,Asia Mainland,MIL OBS,"WHT LUM OBJ HVRS
VANISHES LIKE A LITE TURNED OFF
NFD",Metropolis,2,Technical,"Saucer, Nightlights",37.67,NA,NA,NA,Camouflage,NA,-127.06,"Map, Ground, Military, High quality observer(s)",2,189,5,7,Oddity,No occupant
1990,11,5,19,"BRICY AIRPORT,FR",Loiret,France,Western Europe,AV.MAINT.CREW,"HUGE DARK MASS
VEE-FRONT+CURVED REAR
SW>>NE",Town & city,1,NA,Delta,48,"Observation, Ray",NA,NA,NA,NA,-1.77,"Map, Ground, Civilian, High quality observer(s)",194,305,3,10,"Misidentification, Wave",No occupant
1951,1,~6,NA,"BOWRAL,NSW,AUSTR",NSW,Australia,Oceania,FAST SLNT STEEL-BLU MOONSIZE OBJ CROSSES SKY,SPIRALSCLOUDS,Unknown,2,NA,Saucer,-34.5,NA,NA,NA,NA,NA,-150.4,"Map, Ground, Civilian",46,25,6,7,News,No occupant
1962,11,NA,NA,"RTE9 nr TRANCAS,ARG",TCM,Argentina,South America,BIKE EMES,"2 OBS FROZE
GLO-BALL>>OVHD
LANDS/HILLS
/r215p14",Farmlands,5,Electro-Magnetic Effect,"Saucer, Nightlights",-26.33,NA,"Vehicle affected, Apparent Landing",750,NA,0,68.3,"Map, Ground, Civilian",79,20,8,7,NA,No occupant
1956,9,6,22,"MAINZ,GERM",???,Germany,Western Europe,"BELL-SCR ""HALF MARS SIZE""","GLOWS RED > ORG
DIMS AWAY
NFD",Residential,1,NA,"Saucer, Nightlights",49.98,NA,NA,NA,NA,NA,-8.26,"Map, Ground, Civilian",195,29,5,6,NA,No occupant
1947,7,NA,~09:00,"RED BAY,AL",Alabama,USA,North America,Pvt.PILOT,"nr COLLISION W/SLVR DISK!
SHOOTS AWAY
NFD",In-flight,1,NA,Saucer,34.43,NA,NA,190,NA,NA,88.13,"Map, Airborne, High quality observer(s)",131,438,6,7,News,No occupant
1932,12,8,23,"ARROYOMOLINOS DE LEON,SP",HLV,Spain,Western Europe,FBL EXPLODES W/DAMAGE,"2ND FBL MNVRS/1800hrs
/r50p01.",Farmlands,10,"Electro-Magnetic Effect, Traces","Nightlights, Fireball",38.02,NA,"Vehicle affected, Building or ANY MANMADE STRUCTURE, Apparent Landing",NA,NA,NA,6.41,"Map, Ground, Civilian, High quality observer(s)",194,122,4,8,Misidentification,No occupant
1954,10,14,19,"D60 GUEUGNAN>CIRY-le-NOBLE,FR",S&L,France,Western Europe,SCR W/BLINDING BEAM/LITE,">W SLO
/r49p175+/r138#9",Road + rails,1,NA,Saucer,46.6,"Observation, Ray",NA,NA,NA,NA,-4.17,"Map, Ground, Civilian",2,179,7,5,NA,No occupant
1965,9,15,23,"nr SUDBURY,MASS",Massachusetts,USA,North America,CAR EMES,"HLITE DIM
SCR HVRS+WHINES 200' OVRHD
CAR OK AFTERWARD",Farmlands,5,Electro-Magnetic Effect,Saucer,42.38,Observation,Vehicle affected,58,Sound,60,71.41,"Map, Ground, Civilian",83,90,7,6,NA,No occupant
1968,11,26,21,"SW/MAITLAND,S.AUST",South Australia,Australia,Oceania,FBL FOLOS CAR/9mi to 150kph,"90�TURN
RISES nr TOWN
FSRv19#5",Road + rails,15,NA,"Probe, Fireball",-34.4,Observation,Vehicle affected,NA,Camouflage,NA,-137.59,"Map, Ground, Coast, Civilian",210,827,6,8,NA,No occupant
1991,5,29,10,"HVIDOVRE,DK",DMK,Scandanavian and Finland,Western Europe,1 OBS,"SLVR MTLC SCR GLIDES
GLOWS BLUE
DARKENS+>NE
no wind",Residential,1,NA,Saucer,55.62,NA,NA,NA,NA,NA,-12.5,"Map, Ground, Coast, Civilian",146,15,6,6,NA,No occupant
1996,8,10,21,"GISBORNE,NI,NZ",NI,New Zealand,Oceania,2 OBS,"LRG SLNT GRN DIAMOND >>NW
ZIGZAGS BELOW CLOUDS
+ etc.",Coastlands,1,NA,"Saucer, Nightlights",-38.67,NA,NA,NA,NA,NA,-178,"Map, Ground, Coast, Civilian",240,79,6,6,NA,No occupant
1992,3,29,1,"NORWOOD,S.AUSTR",South Australia,Australia,Oceania,2 OBS,"DISK S>N JUST OVR THIN CLOUDS
2+3 NLTS CURVE >NW+N LATER",Residential,50,NA,"Saucer, Nightlights",-34.76,NA,NA,NA,NA,NA,-139.17,"Map, Ground, Civilian",97,16,6,7,NA,No occupant
1981,12,8,19,"LUNA+RESERVE,NM",New Mexico,USA,North America,3+3+2 SEP.OBS,"750'ORG SPHERE
FAST 90�TURN>>W/JET CHASES
RDRS",Desert,5,Radar,Saucer,33.71,NA,NA,2145,Military investigation,NA,108.76,"Map, Ground, Military, Civilian, High quality observer(s)",200,86,6,10,NA,No occupant
1952,7,28,23,"BURBANK,CA",California,USA,North America,PALE BLUE OBJ CIRCLES/1500'alt,"DROPS
HVRS
500hz RIPPLE SOUND HEARD!",Town & city,2,Technical,Saucer,34.2,NA,NA,237,"Military investigation, Blue Book, Sound",NA,118.3,"Map, Ground, Civilian",136,340,7,6,NA,No occupant
1996,10,22,~15:00,"La MADELEINE-NONANCOURT,FR",EUR,France,Western Europe,SONIC BOOMS,"JET PLANE ZIGZAGS!
SEEN/BINOCS
>>ESE",Town & city,1,NA,Delta,48.77,NA,NA,NA,Camouflage,NA,-1.19,"Map, Ground, Civilian",239,96,7,6,NA,No occupant
1954,9,26,17,"CHALLES,SAVOIE,FR",SVO,France,Western Europe,1 OBS,"OID IN SUIT WADDLES QUICKLY TO SCR
10' CIRCLE FOUND",Residential,10,"Traces, Technical",Saucer,45.54,NA,Apparent Landing,NA,NA,NA,-5.99,"Map, Ground, Civilian",3,248,10,6,NA,Humanoid
1957,4,10,2,"S/NORFOLK,VA",Virginia,USA,North America,ENGINEER/NAL FLT 720,CIRC.NLT+DRK DISK folos highway >S,In-flight,1,NA,"Saucer, Nightlights",36.67,Observation,NA,50,NA,NA,76.24,"Map, Coast, Airborne, Civilian, High quality observer(s)",24,13,6,7,NA,No occupant
1967,10,28,19,"SSE/NATURITA,CO",Colorado,USA,North America,GRP/HUNTERS,"DOMED SCR
ANTENNA/TOP
SQR WINDOWS
TURNS",Mountains,10,Technical,Saucer,38.08,Observation,"Nuclear, Human affected, Vehicle affected",1670,NA,NA,108.53,"Map, Ground, Civilian, High quality observer(s)",109,178,7,9,NA,No occupant
1947,6,17,18,"BREMERTON,WA",Washington,USA,North America,2+1 SEP.OBS,"PLATTER DISKS SINCE AFTERNOON
XTREME SPEEDS>>W
WAVER",Coastlands,180,NA,Saucer,47.57,NA,NA,30,NA,NA,122.61,"Map, Ground, Coast, Civilian, High quality observer(s)",187,10,7,8,"News, Wave",No occupant
1966,11,8,NA,"SAGINAW,MI",Michigan,USA,North America,BBK#11135,"GND+F94 RDR-VIS
UFO FLIES IN OVR SAG.BAY
TURNS 180�+GOES",Town & city,5,Radar,Saucer,43.42,NA,NA,170,"Military investigation, Blue Book",NA,83.94,"Map, Ground, Airborne, Military, High quality observer(s)",52,84,6,10,NA,No occupant
1955,5,14,0,"DINAN,FR",CDN,France,Western Europe,DOMED SCR/LO ALT,"2 OIDS/SP-SUITS EXIT
BOX/CHESTS
OBS FROZEN
/r30p216",Town & city,9,Technical,Saucer,48.44,Ray,"Nuclear, Human affected, Apparent Landing",NA,NA,NA,02/04/2017,"Map, Ground, Civilian",194,106,9,6,NA,Humanoid
1993,7,3,NA,"CHILTINGTON,W.SUSSEX",England,Great Britain and Ireland,Western Europe,FBL JUMPS UP FROM BEHIND TREES/A FEW SECs,DIVES BACK ,Farmlands,1,NA,"Probe, Fireball",50.93,NA,NA,NA,NA,NA,0.41,"Map, Ground, Civilian",60,292,7,6,"News, Oddity",No occupant
1970,2,NA,NA,"S/TOPPENISH,WA",Washington,USA,North America,2 OBS,"ODD SHADOWS/MEN INSPECT SEPTIC EXCAVATION
STRANGE VOICES",Pasture,200,NA,No UFO,46.31,NA,NA,232,"Sound, Camouflage",0,120.28,"Map, Ground, Civilian",160,327,8,7,Wave,Figure
1967,2,14,7,"MILLER co,MO",Missouri,USA,North America,4M SCR/FLD,"INVSBL BARRIER 5M away
65cm FIG/SSUIT
/r113p191+/r41",Farmlands,5,"Traces, Technical",Saucer,38.21,Sampling,"Plants affected or sampled, Apparent Landing",225,Camouflage,NA,92.43,"Map, Ground, Civilian",210,837,10,6,NA,"Humanoid, Robot, Monster, Figure"
1952,10,9,9,"BROOKS AFB,TX",Texas,USA,North America,2 USAF MEN,"SLVR UFO HVRS/40K'alt/1hr
2nd ZOOMS UPWARD",Military base,60,NA,"Saucer, Cigar",29.34,NA,NA,160,"Military investigation, Blue Book",NA,98.43,"Map, Ground, Civilian",136,564,6,7,NA,No occupant
1999,4,30,21,"nr OGDEN,UT",Utah,USA,North America,3/CAR,"10M ORG-GLO CGR 1km W/I-15
25M alt
ODD NOISES+FEELINGS
>>W",Road + rails,2,NA,Cigar,41.27,NA,Human affected,1290,Sound,NA,111.97,"Map, Ground, Civilian",170,918,6,7,NA,No occupant
